224
30/31,5/6
30/31,2/3
30/31,1/2
30/31,1/3
30/31,1/6
29/31,5/6
29/31,2/3
29/31,1/2
29/31,1/3
29/31,1/6
28/31,5/6
28/31,2/3
28/31,1/2
28/31,1/3
28/31,1/6
27/31,5/6
27/31,2/3
27/31,1/2
27/31,1/3
27/31,1/6
26/31,5/6
26/31,2/3
26/31,1/2
26/31,1/3
26/31,1/6
25/31,5/6
25/31,2/3
25/31,1/2
25/31,1/3
25/31,1/6
24/31,5/6
24/31,2/3
24/31,1/2
24/31,1/3
24/31,1/6
23/31,5/6
23/31,2/3
23/31,1/2
23/31,1/3
23/31,1/6
22/31,5/6
22/31,2/3
22/31,1/2
22/31,1/3
22/31,1/6
21/31,5/6
21/31,2/3
21/31,1/2
21/31,1/3
21/31,1/6
20/31,5/6
20/31,2/3
20/31,1/2
20/31,1/3
20/31,1/6
19/31,5/6
19/31,2/3
19/31,1/2
19/31,1/3
19/31,1/6
18/31,5/6
18/31,2/3
18/31,1/2
18/31,1/3
18/31,1/6
17/31,5/6
17/31,2/3
17/31,1/2
17/31,1/3
17/31,1/6
16/31,5/6
16/31,2/3
16/31,1/2
16/31,1/3
16/31,1/6
15/31,5/6
15/31,2/3
15/31,1/2
15/31,1/3
15/31,1/6
14/31,5/6
14/31,2/3
14/31,1/2
14/31,1/3
14/31,1/6
13/31,5/6
13/31,2/3
13/31,1/2
13/31,1/3
13/31,1/6
12/31,5/6
12/31,2/3
12/31,1/2
12/31,1/3
12/31,1/6
11/31,5/6
11/31,2/3
11/31,1/2
11/31,1/3
11/31,1/6
10/31,5/6
10/31,2/3
10/31,1/2
10/31,1/3
10/31,1/6
9/31,5/6
9/31,2/3
9/31,1/2
9/31,1/3
9/31,1/6
8/31,5/6
8/31,2/3
8/31,1/2
8/31,1/3
8/31,1/6
7/31,5/6
7/31,2/3
7/31,1/2
7/31,1/3
7/31,1/6
6/31,5/6
6/31,2/3
6/31,1/2
6/31,1/3
6/31,1/6
5/31,5/6
5/31,2/3
